Month,Order_Demand,Product_Category_Code
1,137541.0,1
1,41.0,2
1,27167.0,3
1,6855.0,4
1,18049765.0,5
1,33054456.0,6
1,10588466.0,7
1,1968.0,8
1,232357.0,9
1,444.0,10
1,191750.0,11
1,4483.0,12
1,16859.0,13
1,4.0,14
1,59557.0,15
1,2320.0,16
1,2754.0,17
1,355355868.0,18
1,192972.0,19
1,353392.0,20
1,57031.0,21
1,365820.0,22
1,74331.0,23
1,79000.0,24
1,18855.0,25
1,2.0,26
1,3288355.0,27
1,941.0,28
1,2840728.0,29
1,1060.0,30
1,215750.0,31
1,3250000.0,32
2,152860.0,1
2,4.0,2
2,31710.0,3
2,6680.0,4
2,16516090.0,5
2,34993597.0,6
2,12204378.0,7
2,1248.0,8
2,305691.0,9
2,1087.0,10
2,306877.0,11
2,2043.0,12
2,26632.0,13
2,20.0,14
2,89665.0,15
2,100.0,33
2,5715.0,16
2,4029.0,17
2,328854776.0,18
2,95354.0,19
2,403492.0,20
2,44985.0,21
2,289266.0,22
2,70453.0,23
2,24000.0,24
2,24491.0,25
2,1.0,26
2,3542412.0,27
2,1812.0,28
2,3505683.0,29
2,1174.0,30
2,430780.0,31
2,3660000.0,32
3,167340.0,1
3,95.0,2
3,39473.0,3
3,10040.0,4
3,18034905.0,5
3,34528166.0,6
3,15141631.0,7
3,1539.0,8
3,322401.0,9
3,989.0,10
3,246030.0,11
3,5587.0,12
3,28542.0,13
3,6.0,14
3,76148.0,15
3,1150.0,33
3,2339.0,16
3,4477.0,17
3,382707966.0,18
3,205965.0,19
3,465002.0,20
3,58581.0,21
3,313181.0,22
3,100989.0,23
3,69000.0,24
3,30020.0,25
3,8.0,26
3,3920826.0,27
3,2438.0,28
3,3640956.0,29
3,1078.0,30
3,367132.0,31
3,3420000.0,32
4,134445.0,1
4,13.0,2
4,26314.0,3
4,7309.0,4
4,15938280.0,5
4,33333389.0,6
4,13948998.0,7
4,1827.0,8
4,342334.0,9
4,1218.0,10
4,236851.0,11
4,4721.0,12
4,21324.0,13
4,17.0,14
4,72170.0,15
4,4483.0,16
4,4894.0,17
4,348225784.0,18
4,248632.0,19
4,379754.0,20
4,43751.0,21
4,233399.0,22
4,109219.0,23
4,6000.0,24
4,27866.0,25
4,3609275.0,27
4,1598.0,28
4,2905877.0,29
4,1052.0,30
4,335134.0,31
4,3620000.0,32
5,122218.0,1
5,49.0,2
5,34933.0,3
5,4630.0,4
5,16874935.0,5
5,33290868.0,6
5,8360650.0,7
5,1427.0,8
5,274701.0,9
5,3644.0,10
5,224704.0,11
5,5534.0,12
5,26836.0,13
5,6.0,14
5,61185.0,15
5,326.0,33
5,5808.0,16
5,3535.0,17
5,342618653.0,18
5,133469.0,19
5,341041.0,20
5,52920.0,21
5,194518.0,22
5,78829.0,23
5,21000.0,24
5,23447.0,25
5,1.0,26
5,3908187.0,27
5,2219.0,28
5,2880607.0,29
5,1078.0,30
5,455888.0,31
5,3460000.0,32
6,144933.0,1
6,74.0,2
6,36597.0,3
6,10640.0,4
6,15744295.0,5
6,33867523.0,6
6,10440030.0,7
6,1097.0,8
6,381893.0,9
6,1986.0,10
6,205007.0,11
6,3653.0,12
6,16243.0,13
6,65907.0,15
6,1178.0,33
6,3652.0,16
6,4118.0,17
6,357566403.0,18
6,255086.0,19
6,350226.0,20
6,44286.0,21
6,261676.0,22
6,84349.0,23
6,30000.0,24
6,21822.0,25
6,4314698.0,27
6,2233.0,28
6,3114225.0,29
6,1136.0,30
6,444312.0,31
6,3760000.0,32
7,148997.0,1
7,29.0,2
7,29468.0,3
7,6225.0,4
7,15775945.0,5
7,33235138.0,6
7,7579280.0,7
7,1364.0,8
7,255314.0,9
7,2721.0,10
7,209673.0,11
7,5000.0,12
7,21346.0,13
7,12.0,14
7,67111.0,15
7,820.0,33
7,4969.0,16
7,3623.0,17
7,389336019.0,18
7,117381.0,19
7,350989.0,20
7,57086.0,21
7,379873.0,22
7,82415.0,23
7,3000.0,24
7,20904.0,25
7,6.0,26
7,4124095.0,27
7,1360.0,28
7,3610206.0,29
7,1676.0,30
7,320436.0,31
7,3950000.0,32
8,128276.0,1
8,47.0,2
8,29462.0,3
8,11456.0,4
8,14519830.0,5
8,31647551.0,6
8,10761483.0,7
8,1591.0,8
8,277146.0,9
8,1522.0,10
8,220153.0,11
8,3005.0,12
8,18062.0,13
8,8.0,14
8,62689.0,15
8,12078.0,33
8,1981.0,16
8,3123.0,17
8,315039070.0,18
8,190063.0,19
8,326651.0,20
8,56167.0,21
8,225529.0,22
8,83645.0,23
8,3000.0,24
8,26292.0,25
8,20.0,26
8,4041012.0,27
8,1946.0,28
8,4445055.0,29
8,947.0,30
8,493392.0,31
8,3090000.0,32
9,138284.0,1
9,53.0,2
9,31470.0,3
9,10353.0,4
9,16080465.0,5
9,30917478.0,6
9,9515407.0,7
9,818.0,8
9,365084.0,9
9,1824.0,10
9,302463.0,11
9,5833.0,12
9,25137.0,13
9,7.0,14
9,79154.0,15
9,114.0,33
9,6172.0,16
9,4197.0,17
9,329132743.0,18
9,197369.0,19
9,352041.0,20
9,54696.0,21
9,210289.0,22
9,80618.0,23
9,26000.0,24
9,20518.0,25
9,4233168.0,27
9,2281.0,28
9,3200282.0,29
9,1255.0,30
9,311870.0,31
9,3490000.0,32
10,163589.0,1
10,104.0,2
10,33662.0,3
10,7508.0,4
10,17241660.0,5
10,35629301.0,6
10,11361191.0,7
10,1373.0,8
10,307967.0,9
10,2457.0,10
10,191124.0,11
10,8904.0,12
10,49248.0,13
10,10.0,14
10,59105.0,15
10,37.0,33
10,6184.0,16
10,3240.0,17
10,371916736.0,18
10,183144.0,19
10,394824.0,20
10,42989.0,21
10,168699.0,22
10,124884.0,23
10,18000.0,24
10,21953.0,25
10,4518753.0,27
10,1962.0,28
10,3460725.0,29
10,779.0,30
10,271726.0,31
10,3580000.0,32
11,148945.0,1
11,37.0,2
11,36182.0,3
11,5040.0,4
11,16786765.0,5
11,34817707.0,6
11,9301185.0,7
11,1891.0,8
11,339415.0,9
11,2396.0,10
11,324980.0,11
11,12268.0,12
11,40364.0,13
11,5.0,14
11,80069.0,15
11,617.0,33
11,2209.0,16
11,4326.0,17
11,356403819.0,18
11,366092.0,19
11,373491.0,20
11,49444.0,21
11,205232.0,22
11,79032.0,23
11,164000.0,24
11,20261.0,25
11,35.0,26
11,4045336.0,27
11,2384.0,28
11,3127755.0,29
11,928.0,30
11,319612.0,31
11,3590000.0,32
12,155508.0,1
12,78.0,2
12,34259.0,3
12,11541.0,4
12,17455270.0,5
12,34295325.0,6
12,9005988.0,7
12,1402.0,8
12,291264.0,9
12,1548.0,10
12,212642.0,11
12,7247.0,12
12,15237.0,13
12,5.0,14
12,50637.0,15
12,430.0,33
12,2051.0,16
12,3421.0,17
12,352825124.0,18
12,181945.0,19
